time,open,high,low,close,vwap,volume,count
2017-10-19,5590.0,6180.0,5400.0,5762.8,5792.9,30909.47786225,110255
2017-10-26,5761.0,6749.0,5684.7,6741.9,6104.6,25030.65271359,102490
2017-11-02,6741.8,7788.0,6710.8,7463.5,7213.0,31622.38262751,124585
2017-11-09,7460.0,7470.0,5464.0,7260.0,6552.4,54932.87004646,186779
2017-11-16,7260.0,8350.0,7085.2,8250.6,7801.5,30166.55597647,110590
2017-11-23,8251.5,11379.8,7850.0,9795.8,9287.5,28587.21634435,127311
2017-11-30,9773.1,13850.0,9220.8,13737.7,11076.1,30320.89977649,150087
2017-12-07,13733.4,17423.0,13000.0,16150.1,15487.1,32048.82997282,197477
2017-12-14,16135.3,19660.0,15501.2,16220.7,17669.0,26444.25140937,186950
2017-12-21,16217.7,16950.0,11205.0,15445.9,14352.9,32508.75723048,203568
2017-12-28,15444.3,15599.7,12132.4,15185.7,14090.5,23050.42464242,150992
2018-01-04,15186.7,17245.0,13500.0,14937.6,15308.6,22533.65755759,153584
2018-01-11,14907.0,17200.0,9225.0,11185.0,11945.5,30518.22792522,215276
2018-01-18,11191.0,13079.6,10000.0,11419.8,11484.4,37267.03547934,334756
2018-01-25,11419.8,11932.7,9513.1,10101.6,10811.5,48369.71125687,348959
2018-02-01,10105.5,10180.9,5850.0,7559.0,7884.0,114923.81710749,421382
2018-02-08,7552.4,9520.6,7543.0,9489.7,8490.6,62829.17962822,221877
2018-02-15,9475.7,11790.1,9330.1,10468.1,10658.5,62218.37487697,267435
2018-02-22,10477.2,11081.4,9310.1,10310.0,10123.4,67325.97474846,230712
2018-03-01,10309.0,11666.4,9388.1,9903.0,10799.9,52129.68293432,186800
2018-03-08,9903.0,10120.7,7900.0,8174.2,9060.3,96623.48072948,354541
2018-03-15,8175.9,9189.8,7305.0,8880.0,8224.1,97767.40064849,300065
2018-03-22,8879.0,9116.2,7708.6,7943.3,8363.2,59488.95812595,170939
2018-03-29,7935.0,7975.0,6449.4,6790.4,7041.4,93440.06946116,243074
2018-04-05,6790.4,7186.1,6505.0,6941.0,6805.0,48518.97276684,122338
2018-04-12,6940.9,8500.0,6759.0,8170.0,7909.8,51570.90465575,140274
2018-04-19,8170.6,9750.0,8099.7,8855.7,8950.6,47659.40607828,149865
2018-04-26,8857.0,9538.0,8555.0,9217.1,9122.8,36580.97338792,118956
2018-05-03,9233.3,9962.0,8960.0,9305.4,9471.1,29102.95960526,108845
2018-05-10,9302.0,9395.9,8077.3,8344.9,8575.4,34602.70759026,114041
2018-05-17,8345.8,8596.7,7440.6,7500.3,8104.4,28152.4399937,86002
2018-05-24,7503.0,7725.0,7051.0,7374.9,7392.9,28633.91419141,78628
2018-05-31,7372.5,7780.0,7330.2,7659.8,7550.3,20413.66473981,60241
2018-06-07,7650.4,7750.0,6122.1,6294.2,6871.2,28659.0800025,84141
2018-06-14,6295.7,6854.3,6264.4,6755.4,6563.0,24960.96746492,62163
2018-06-21,6756.7,6787.6,5650.0,6134.2,6170.4,35150.9569893,86379
2018-06-28,6132.5,6790.0,5787.7,6584.2,6310.2,24341.7646142,63364
2018-07-05,6587.0,6838.5,6276.7,6377.9,6551.5,18777.31771524,52588
2018-07-12,6378.0,7599.0,6073.3,7367.4,6743.4,29535.00914202,84473
2018-07-19,7379.9,8496.6,7200.3,8166.0,7770.3,33910.0671624,107421
2018-07-26,8164.7,8315.0,7423.0,7604.1,7954.7,28989.66959416,96965
2018-08-02,7605.3,7700.0,6120.0,6275.9,6961.8,36518.13589194,134826
2018-08-09,6276.6,6789.8,5890.0,6269.5,6284.1,49213.46691473,136232
2018-08-16,6269.5,6916.5,6210.0,6359.8,6455.4,28596.64275665,82916
2018-08-23,6354.9,7133.7,6329.2,7022.7,6769.4,21945.13359881,57931
2018-08-30,7025.4,7405.9,6638.8,6686.6,7082.8,27155.93650574,68996
2018-09-06,6684.4,6702.3,6073.9,6319.5,6341.3,30218.17533816,67640
2018-09-13,6325.1,6599.8,6102.6,6392.1,6406.8,25177.01461306,53797
2018-09-20,6390.6,6836.4,6318.5,6453.5,6564.4,26141.95411105,70119
2018-09-27,6452.0,6796.2,6397.6,6463.9,6555.7,22678.13457841,51799
2018-10-04,6463.8,6688.3,6441.8,6530.5,6560.7,12727.3757228,30650
2018-10-11,6530.1,6820.0,6091.2,6442.5,6353.4,27276.48914726,74334
2018-10-18,6442.3,6487.9,6344.6,6413.9,6407.5,9505.8292516,28721
2018-10-25,6414.0,6450.0,6201.0,6307.5,6316.7,15890.19172517,31515
2018-11-01,6307.5,6552.9,6290.6,6503.3,6404.5,11959.03707637,31503
2018-11-08,6503.2,6515.7,5330.0,5600.9,5986.4,26453.50380033,71338
2018-11-15,5600.9,5698.0,4028.8,4548.2,4882.7,71535.67511851,159663
2018-11-22,4543.3,4589.9,3456.0,4219.8,3937.4,92594.015934,179944
2018-11-29,4219.8,4441.0,3653.0,3694.3,4010.8,67834.05175023,131421
2018-12-06,3697.1,3851.1,3208.0,3435.2,3461.0,80311.65411522,140094
2018-12-13,3433.1,3920.0,3120.0,3683.6,3462.5,86201.85921066,124345
2018-12-20,3682.0,4239.9,3651.0,3808.2,3935.6,89438.27376432,150874
2018-12-27,3809.2,4499.3,3565.9,3886.2,3774.9,48490.617788,87673
2019-01-03,3887.8,4113.9,3721.9,3999.9,3935.5,40984.29546421,71346
2019-01-10,4002.2,4035.5,3375.0,3606.6,3646.0,51472.88443166,76048
2019-01-17,3610.5,3950.0,3440.0,3556.1,3588.0,35520.21076535,56095
2019-01-24,3556.1,3673.0,3343.3,3435.4,3473.7,31614.16100729,47789
2019-01-31,3435.1,3494.1,3337.0,3367.4,3412.4,26247.70182561,40342
2019-02-07,3367.2,3744.2,3341.4,3574.0,3547.5,31453.02422847,54945
2019-02-14,3576.0,3975.0,3532.1,3942.0,3757.9,38047.66112918,62622
2019-02-21,3938.6,4190.3,3625.0,3799.1,3879.1,44875.14564776,74724
2019-02-28,3797.8,3895.7,3670.9,3851.7,3794.6,24649.89115152,47481
2019-03-07,3851.7,3947.0,3760.3,3853.4,3865.2,22998.27570541,46526
2019-03-14,3851.3,4048.8,3781.6,4032.1,3948.2,23268.11256441,52397
2019-03-21,4030.9,4064.4,3855.5,4025.8,3963.7,22414.47765797,53084
2019-03-28,4025.0,5362.7,3994.8,4972.2,4675.1,57997.60001728,118025
